Pattern Name,Category,Direction,How It Looks
Evening Star,Three,Bearish,Large green candle + small-bodied middle candle (gap up) + large red candle closing into the first candle's body
Evening Doji Star,Three,Bearish,Same as Evening Star but the middle candle is a doji showing complete indecision at the top
Three Black Crows,Three,Bearish,Three consecutive long red candles each opening within and closing below the prior candle's body
Three Inside Down,Three,Bearish,Bearish Harami followed by a third red candle closing below the first candle's low confirming the reversal
Three Outside Down,Three,Bearish,Bearish Engulfing followed by a third red candle closing lower confirming selling pressure
Bearish Abandoned Baby,Three,Bearish,Green candle + gap-up doji + gap-down red candle where the doji has no overlap with either candle
Identical Three Crows,Three,Bearish,Three consecutive red candles where each opens at the prior candle's close with no gap
Deliberation Pattern,Three,Bearish,Two long green candles followed by a small green candle at the top showing exhaustion of buying momentum
Advance Block,Three,Bearish,Three green candles but each is progressively smaller with longer upper wicks showing weakening bulls
Rising Three Methods,Multi,Bullish Continuation,Long green candle + three small red candles staying within the range + breakout green candle closing above the first
Bullish Three-Line Strike,Multi,Bullish,Three white soldiers pattern followed by a single large red candle that engulfs all three but buyers resume
Concealing Baby Swallow,Multi,Bullish,Four consecutive black marubozu candles where the third has a gap-down but is engulfed by the fourth
Ladder Bottom,Multi,Bullish,Three black crows followed by a candle with a long upper wick then a gap-up white candle
Stick Sandwich (Bullish),Multi,Bullish,Two red candles with the same close surrounding a green candle in between
Falling Three Methods,Multi,Bearish Continuation,Long red candle + three small green candles within range + breakdown red candle closing below the first
Bearish Three-Line Strike,Multi,Bearish,Three black crows followed by a single large green candle engulfing all three but sellers resume
Descent Block,Multi,Bearish,Three large red candles progressively getting smaller showing slowing but continued selling
Tower Top,Multi,Bearish,One or two large green candles followed by several small candles then one or two large red candles forming a tower shape
Upside Tasuki Gap,Continuation,Bullish,Two green candles with a gap between them followed by a red candle that partially fills but doesn't close the gap
Downside Tasuki Gap,Continuation,Bearish,Two red candles with a gap between them followed by a green candle that partially fills but doesn't close the gap
Side-by-Side White Lines,Continuation,Bullish,A gap-up green candle followed by another green candle of similar size opening at the same level
Rising Window,Continuation,Bullish,A gap up between two candles where the low of the second candle is above the high of the first
Falling Window,Continuation,Bearish,A gap down between two candles where the high of the second candle is below the low of the first
Separating Lines (Bullish),Continuation,Bullish,A red candle followed by a green candle that opens at the exact same price as the prior red candle's open
Separating Lines (Bearish),Continuation,Bearish,A green candle followed by a red candle that opens at the exact same price as the prior green candle's open
Hikkake Pattern,Special,Both,An inside bar followed by a false breakout in one direction then a sharp reversal in the opposite direction
Hikkake Modified,Special,Both,A stronger version of the Hikkake with multiple inside bars before the false breakout and reversal
Matching Low,Special,Bullish,Two red candles with the exact same closing price signaling strong support at that level
Matching High,Special,Bearish,Two green candles with the exact same closing price signaling strong resistance at that level
Belt Hold (Bullish),Special,Bullish,A long green marubozu candle that opens at its low with no lower wick signaling strong buying from the open
Belt Hold (Bearish),Special,Bearish,A long red marubozu candle that opens at its high with no upper wick signaling strong selling from the open
Breakaway (Bullish),Special,Bullish,Five candles starting with a large red candle gapping down then three red candles then a green candle gapping up
Breakaway (Bearish),Special,Bearish,Five candles starting with a large green candle gapping up then three green candles then a red candle gapping down
Thrusting Line,Special,Bearish,A red candle followed by a green candle that closes inside the prior body but below its midpoint — weak recovery
